"id","displayName","phoneNumber","email","expertises","uid"
" fCrnXFtv5kM3kahd0ryu75zaNrY2","tester01","+5911111111","versatech.tec@gmail.com","[{}]",
"00rB1nfSA4QdbVzmpEBTWHo1Rkf1","Maritza rojas gallinate","+59165898461","rm129899@gmail.com","[{""name"":""Eventos y cocina"",""id"":""xeirGYDAqA2Q5o2dSLbV""}]",
"0AO2zQPG18GAvCYzwmfxEuOf7dG1","Fernanda Jimenez Cruz","+59161188509","fernanda.jimenez43@gmail.com","[{""name"":""Electricista"",""id"":""4nEaRhSHpcxYcbryVrpK""}]",
"0DtojK2ywJit2t3YkNDb3Kq8JA9p","Gabriela Castro Ruiz","+59166513907","gabriela.castro11@gmail.com","[{""name"":""Asistencia auto/moto"",""id"":""uFvf1J3wr22BOFOiFs4b""}]",
"0OeCOFmSVqFiYFDQB8d4Yl2QQz7P","Gabriela Cruz Lopez","+59173660294","gabriela.cruz95@gmail.com","[{""name"":""Plomería"",""id"":""HW9xvBPRO5A98hOzG4Qr""}]",
"0UAPQq5qF08g1tH4iRJegfyeZrPY","Pedro Jimenez Garcia","+59164913789","pedro.jimenez30@gmail.com","[{""name"":""Limpieza"",""id"":""GupAPQj7pRHS9HtEsoQE""}]",
"0YffCIW8cWckkeYGD1TZj0WE0ny2","Iver Nina miranda","+59176079720","ivercingo88@gmail.com","[{""name"":""Aire acondicionado y calefón"",""id"":""5OF9nRYFsjzsymh1hZZN""},{""name"":""Electricista"",""id"":""4nEaRhSHpcxYcbryVrpK""},{""name"":""Técnicos de electrodomesticos"",""id"":""9GtGhWlmirDeVJGPRoqt""}]",
"0a0cGeqyzECfmiYbiQjojI6jipht","Ricardo Sanchez Rodriguez","+59163829974","ricardo.sanchez61@gmail.com","[{""name"":""Gimnasio y nutrición"",""id"":""i7cJInymptrDzJvmeoDL""}]",
"0lyXCTQQNZIYJrtWJfkk4hy9kq6H","Lucia Diaz Ortiz","+59175567431","lucia.diaz36@gmail.com","[{""name"":""Cerrajería"",""id"":""0dPeu6TzKtfS5kddE8i0""}]",
"0nrTBTompJoijxaTiJJgDRhHM2ZB","Fernando Rodriguez Gonzalez","+59168155878","fernando.rodriguez83@gmail.com","[{""name"":""Jardinería"",""id"":""nv1yfLUhhRJ0ow8ooY1M""}]",
"0wSlLgb1mnboeUpVHXVy39nlU0P2","Jesus Tilila","","jesustilila990@gmail.com","[{""name"":""Albañilería"",""id"":""wOm91xVIuu9KBqfYkjas""},{""name"":""Cerrajería"",""id"":""0dPeu6TzKtfS5kddE8i0""},{""name"":""Pintor"",""id"":""xcRyLmqJOHAjUStWbSOt""},{""name"":""Plomería"",""id"":""HW9xvBPRO5A98hOzG4Qr""},{""name"":""Soldador"",""id"":""iEV4j5vJur7V6ZUBmSHE""}]",
"0wzFsnuzyXmoU0Sswc9iTgDxEHVN","Ana Mendoza Ramirez","+59165765583","ana.mendoza84@gmail.com","[{""name"":""Cerrajería"",""id"":""0dPeu6TzKtfS5kddE8i0""}]",
